가맹점명,가맹점유형,업종명,시도명,시군구명,시군구코드,소재지도로명주소,전화번호,관리기관명,관리기관전화번호,데이터기준일자
1973우육면관,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 춘천로 335 (후평동),033-255-3555,강원특별자치도 춘천시청,033-250-4043,2025-07-14
1973우육면관,일반가맹점,중식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 춘천로 335 1층,033-255-3555,강원특별자치도 춘천시청,033-250-4043,2025-07-14
19티,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 서부대성로239번길 13 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
1단지 김밥,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 춘천로310번길 24 1층(후평동),,강원특별자치도 춘천시청,033-250-4043,2025-07-14
1박2일모곡편의점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남면 한덕발산길 17 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
214도넛,일반가맹점,제과점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 효자로150번길 23 1층,033-261-1002,강원특별자치도 춘천시청,033-250-4043,2025-07-14
234산장가든,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남산면 서백길 86-9,033-263-2523,강원특별자치도 춘천시청,033-250-4043,2025-07-14
24 전주명가콩나물국밥 장학점,일반가맹점,한식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 동면 춘천로 451 1층 101,102호",033-243-9882,강원특별자치도 춘천시청,033-250-4043,2025-07-14
25시김밥,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 퇴계동 945번지 퇴계금호상가 1층 3호,033-264-2477,강원특별자치도 춘천시청,033-250-4043,2025-07-14
29페이지,일반가맹점,양식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 둥지길 18-9 1,2층",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
2린닭갈비,일반가맹점,한식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 서부대성로239번길 47-26 ,2층",033-255-2632,강원특별자치도 춘천시청,033-250-4043,2025-07-14
3.6.3숯불구이,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 삭주로 194 (후평동),033-257-3353,강원특별자치도 춘천시청,033-250-4043,2025-07-14
30년전통최인숙손두부,일반가맹점,한식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 동면 춘천순환로 709 2동,1층",033-241-0092,강원특별자치도 춘천시청,033-250-4043,2025-07-14
33떡볶이 후평점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 후석로326번길 11 후평동,033-244-7733,강원특별자치도 춘천시청,033-250-4043,2025-07-14
33떡볶이앤꼬마김밥온의점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 스포츠타운길 533 1층101호(온의동),033-257-9933,강원특별자치도 춘천시청,033-250-4043,2025-07-14
33떡볶이우두점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 충열로 10-14 1층(우두동),033-251-3353,강원특별자치도 춘천시청,033-250-4043,2025-07-14
33떡볶이춘천거두점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동내면 춘천순환로 66 1층,033-264-3352,강원특별자치도 춘천시청,033-250-4043,2025-07-14
33떡볶이퇴계석사점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 퇴계로 205 1층 102호,033-253-8833,강원특별자치도 춘천시청,033-250-4043,2025-07-14
486식당,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 벌말길 62 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
5.5닭갈비,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남춘로 33 (퇴계동),033-254-8327,강원특별자치도 춘천시청,033-250-4043,2025-07-14
"50년전통닭갈비,막국수",일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 춘주로92번길 38 (온의동),033-243-7776,강원특별자치도 춘천시청,033-250-4043,2025-07-14
59쌀피자,일반가맹점,패스트푸드,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 충열로 39 a동 108호,033-256-5956,강원특별자치도 춘천시청,033-250-4043,2025-07-14
59피자 퇴계점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 승지골길16번길 16, 상가동 104호 (퇴계동, 퇴계7단지주공아파트)",033-255-5950,강원특별자치도 춘천시청,033-250-4043,2025-07-14
5감족발,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 효평길 43 1층,033-255-3098,강원특별자치도 춘천시청,033-250-4043,2025-07-14
60계 강원춘천후평점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 백령로 190 상가동 101호, 102호",033-255-0060,강원특별자치도 춘천시청,033-250-4043,2025-07-14
60계치킨 춘천교대점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 공지로 119 1층,033-264-5122,강원특별자치도 춘천시청,033-250-4043,2025-07-14
60계치킨(춘천우두점),일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 충열로16번길 5-15 1층,033-256-1060,강원특별자치도 춘천시청,033-250-4043,2025-07-14
60계치킨강대온의점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 방송길 77, 1층 1115호 1135호 (온의동, 춘천센트럴타워푸르지오)",033-251-8043,강원특별자치도 춘천시청,033-250-4043,2025-07-14
7-ELEVEN남춘천광장점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 퇴계동 11토지구획정리사업지구38B5L1층,02-3284-8187,강원특별자치도 춘천시청,033-250-4043,2025-07-14
798삼천동고깃집,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 옛경춘로 798 1층(삼천동),033-257-8592,강원특별자치도 춘천시청,033-250-4043,2025-07-14
79치킨춘천1호점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 윗무린개길 26 1층,033-264-7670,강원특별자치도 춘천시청,033-250-4043,2025-07-14
7번가피자춘천점,일반가맹점,패스트푸드,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 후석로 55-1 (석사동),033-264-7277,강원특별자치도 춘천시청,033-250-4043,2025-07-14
88제육춘천점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 후석로393번길 51 1층 좌측 상가(후평동),,강원특별자치도 춘천시청,033-250-4043,2025-07-14
88켄터키 파크자이점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 스포츠타운길 458 상가동203호,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
8월의중식,일반가맹점,중식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 후석로393번길 39 (후평동),033-353-4033,강원특별자치도 춘천시청,033-250-4043,2025-07-14
9우미닭갈비,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 삭주로 116 1층,033-244-2614,강원특별자치도 춘천시청,033-250-4043,2025-07-14
9우미닭갈비만천점,일반가맹점,한식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 동면 만천로143번길 46-4, 1층",033-255-8422,강원특별자치도 춘천시청,033-250-4043,2025-07-14
빽다방춘천강북점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 충열로 1, 1층 102호 (우두동)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
BBQ 봄내행운점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 퇴계로 221 .,033-261-9289,강원특별자치도 춘천시청,033-250-4043,2025-07-14
BBQ 애막골점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 우석로85번길 20-6 (석사동),033-263-9280,강원특별자치도 춘천시청,033-250-4043,2025-07-14
BBQ춘천강북점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 충열로16번길 21-20 1층,033-243-9285,강원특별자치도 춘천시청,033-250-4043,2025-07-14
Blatter,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동내면 금촌로 84-58 2층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CHO O. K치킨,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 춘천로 288  CHO O. K치킨,02-255-0989,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 강원대 동문점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 강원대학길 1 (효자동, 강원대학교)",033-250-7339,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 강원대 백령점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 강원대학길 1, 친환경농업연구센터 1층 (효자동, 강원대학교)",033-250-7794,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 강원대60주년 기념관점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 강원대학길 1, 1층 (효자동, 강원대학교)",033-250-7790,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 강원대제3학생회관점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 강원대학길 1, 1층 (효자동, 강원대학교)",02-1577-8007,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천 효제점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 효제길 24 (효자동),033-244-3283,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천강원일보점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 중앙로 23, 지하1층 (중앙로1가, 강원일보사)",033-255-0920,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천고은쉼터점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 동내면 동내로 194,033-262-4454,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천교대원룸점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 공지로 151, 1층 (석사동)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천동면점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 동면 가산로 81,033-241-4477,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천두미르2차점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 근화동 236-31 1층,033-256-3925,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천미소점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 근화길15번길 37 (근화동),033-243-1118,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천사농쉼터점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 영서로 3057, 1층 (사농동)",033-242-9185,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천소양강점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 신북읍 신샘밭로 727,033-1577-3663,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천신북산천점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 신북읍 장본길 2, 1층",033-244-1504,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천온의동점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 영서로 2315-2, 1층 (온의동)",033-257-0778,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천칠전부영점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 칠전서길 45, 상가동 101호 사랑으로부영아파트 (칠전동, 춘천칠전사랑으로부영아파트)",033-264-1894,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천터미널길점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 터미널길14번길 20 (온의동),033-252-0575,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천퇴계빌리지점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 퇴계로69번길 11, 1층 (퇴계동)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천효자바위점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 춘천로213번길 8 (효자동),033-256-4007,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천효자법원점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남춘로55번길 3 (효자동),033-244-0221,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천효자푸른점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 공지로 242 (효자동),080-080-3663,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천후평공단점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 공단로 70 (후평동),033-251-5249,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천후평점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 춘천로 283, 1층 (후평동)",033-243-5569,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 춘천후평현대점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 후만로24번길 13, 상가동 102호 103호 104호 (후평동, 현대5차아파트)",033-254-0771,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU 한림성심대학교점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 동면 장학길 48 (한림성심대학교),02-1577-8007,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU춘천 인벤스점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 충열로 27, 상가동 105호 (우두동, 롯데인벤스아파트)",033-255-5753,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU춘천현대점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 춘천로 177 (운교동),033-252-8600,강원특별자치도 춘천시청,033-250-4043,2025-07-14
CU춘천효자점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 서부대성로 163 (효자동),033-241-0016,강원특별자치도 춘천시청,033-250-4043,2025-07-14
DAO베트남쌀국수,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 중앙로68번길 7 1층(낙원동),02-2679-6605,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GC ATELIER,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동면 건일길 236 1-3층,033-255-5678,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 강원대기숙사점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 강원대학길 1 이룸관동 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 강원대정문점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 백령로 7 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 강원특별자치도청점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 중앙로 1 (봉의동, 강원특별자치도청)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 강촌방곡로드점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남산면 강촌로 124 강원특별자치도 춘천시 남산면 방곡리 280-4,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 강촌중앙,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남산면 강촌로 63 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 거두에이스점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동내면 외솔길19번길 66 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 김유정역점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 신동면 김유정로 1417, A동 101호",033-262-2128,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 남춘천본점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 우묵들길 4 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 남춘천코아루점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남춘로 17 106호,02-244-6936,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 만천학마을,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동면 춘천순환로 422 623-1,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 신북산천점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 신북읍 장본길 3,080-555-2525,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 엘리시안강촌CC점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남산면 북한강변길 688 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 엘리시안강촌점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 남산면 북한강변길 688, 콘도 1층",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 장학춘천로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동면 춘천로449번길 20 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천 웰라움점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 효자동 216-5 상가동 101호,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천 춘주로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 춘주로92번길 38 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천경강점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남산면 서백길 80,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천교동점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 삭주로70번길 18 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천그린점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 효자문길 3 (효자동),,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천대로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 영서로 2025 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천대학로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 백령로 115 (효자동),033-255-1778,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천동면점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 동면 가산로 90-4,080-555-2525,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천럭키점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 벌말길 106-1, 1층 (석사동)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천백령점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 청운길 7 (효자동,1층)",02-2006-2485,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천본점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 후석로 45, 1층 (석사동)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천부영점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 우석로101번길 83, 상가동 103호 (석사동, 석사3지구부영아파트)",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천사우로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 충열로 153 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천세경,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 삭주로 125 1층 103호, 104호",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천센터점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 춘천로 360 (후평동),033-253-1031,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천스무숲점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 스무숲4길 25 (석사동),,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천승리점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 우묵길78번길 18 , 18",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
GS25 춘천신북점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 신북읍 신샘밭로 364,02-2006-2485,강원특별자치도 춘천시청,033-250-4043,2025-07-14
